res_id,name,url,address,city,locality,cuisines,timings,highlights,aggregate_rating,votes,average_cost_for_one
1400286,Joshi Dahi Bada House,https://www.zomato.com/indore/joshi-dahi-bada-house-sarafa-bazaar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"24, Bada Sarafa, Sarafa Bazaar, Indore",Indore,Sarafa Bazaar,Street Food,6pm – 10:30pm (Mon-Sun),"['Cash', 'Dinner', 'Takeaway Available', 'Indoor Seating', 'Pure Veg']",4.9,686,50
1400301,Swadisht Samosa Corner,https://www.zomato.com/indore/swadisht-samosa-corner-sarafa-bazaar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"8, Sarafa Bazaar, Indore",Indore,Sarafa Bazaar,Street Food,"9pm – 11pm (Mon),9pm – 12midnight (Tue-Sun)","['No Seating Available', 'Cash', 'Takeaway Available', 'Pure Veg']",3.9,128,50
18767801,Jagdeesh Sweets,https://www.zomato.com/indore/jagdeesh-sweets-jail-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"143, Near Chimanbagh Square, Jail Road, Indore",Indore,Jail Road,"Street Food, Mithai",8 AM to 11 PM,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']",3.7,129,50
1402074,Ravi Alpahar,https://www.zomato.com/indore/ravi-alpahar-kothari-market?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"100, Nagar Nigam Road, Nagar Nigam Office, Kothari Market, Indore",Indore,Kothari Market,Street Food,8:30 AM to 8:30 PM (Mon-Sun),"['Takeaway Available', 'Breakfast', 'Cash', 'Indoor Seating', 'Pure Veg']",3.9,120,50
1401890,JSK Sweets & Restaurant,https://www.zomato.com/indore/jsk-sweets-restaurant-rau?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"A.B Road Rau, Near Axis Bank ATM, Rau, Indore",Indore,Rau,"Mithai, Street Food",6 AM to 12 Midnight,"['Cash', 'Takeaway Available', 'Breakfast', 'Pure Veg', 'Desserts and Bakes', 'Indoor Seating']",3.7,94,50
18802468,Punjabi Dhaba,https://www.zomato.com/indore/punjabi-dhaba-3-bhawar-kuan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"46, Piplyarao, Bholaram Ustad Road, Bhawar Kuan, Indore",Indore,Bhawar Kuan,North Indian,11 AM to 11 PM,"['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Indoor Seating']",3.2,54,50
18776872,Chanchal Namkeen,https://www.zomato.com/indore/chanchal-namkeen-gangwal-bus-stand?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"25/1 North Rajmoholla, Near Shivram Temple, Gangwal Bus Stand, Indore",Indore,Gangwal Bus Stand,"Bakery, Mithai, Street Food",7am – 3am (Mon-Sun),"['Cash', 'Takeaway Available', 'Delivery', 'Pure Veg']",3.8,92,50
1401065,Bombay Bakery,https://www.zomato.com/indore/bombay-bakery-chhavani?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"14/1, Ushaganj, Chhavani, Indore",Indore,Chhavani,"Bakery, Street Food",8:30am – 11pm (Mon-Sun),"['Cash', 'Debit Card', 'Takeaway Available', 'No Seating Available', 'Credit Card', 'Breakfast', 'No Alcohol Available', 'Desserts and Bakes', 'Pure Veg']",3.5,68,50
18669351,Sawariya Seth Khichdi,https://www.zomato.com/indore/sawariya-seth-khichdi-sarafa-bazaar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Bada Sarafa, Near Jain Mandir, Sarafa Bazaar, Indore",Indore,Sarafa Bazaar,North Indian,1pm – 12midnight (Mon-Sun),"['No Seating Available', 'Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Pure Veg']",3.6,55,50
18322747,Ramesh South Indian,https://www.zomato.com/indore/ramesh-south-indian-bhawar-kuan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near Swaminarayan Mandir, Khandwa Road, Indore",Indore,Bhawar Kuan,South Indian,4:30 PM to 11 PM (Mon-Sun),"['Takeaway Available', 'Dinner', 'Cash', 'Outdoor Seating', 'Pure Veg']",3.8,61,50
